seller_sku,item_id_US,item_id_CA,BS_SKU,B_SKU,B_NZ_SKU
31012357B,3234426658,4S4C6U1J8G5C,,31012357,31012357 B
31052210,2660131531,793OCC8QN128,,31052210,31052210
31076310HD,3383165095,3HE2FIHMCQHH,,31076310 HD,31076310 HD
31192330,2061942060,6Q1QNTGCA7UW,,,
31312310,2817610014,4DCFWE52NA5N,,31312310,31312310
313TT_1,5232742368,3YZFX4EKGVBC,,,
313TT_1_VAR,,6MUOF7K3LV54,,,
313TT_6,5233826864,3NTH5I305KRQ,,,
313TT_6_VAR,,3ESHQN2P34I0,,,
313TT_S,5239885402,2IDA2IAGESUT,,,
313TT_S_VAR,,3AT4F1YRB0E1,,,
315TF_1,5242849301,58HKRSUNZ24N,,,
315TF_1_VAR,,3LS42OZ48DLL,,,
315TF_6,5292400409,7HF4OTF5SFVL,,,
315TF_6_VAR,,4LX1TJI1Y6UP,,,
315TF_S,5295163015,4B34R5M07UC9,,,
315TF_S_VAR,,70Q6OEPYC3LS,,,
31616040,3659987957,1ZYVLSW1Q4OB,,,
31616060,3421209693,64W1KXG9XXWL,,,
31616080,3571966607,714L8RGQW8DI,,31616080,31616080
31616100,3432147532,1EXQXOAZAKTP,,31616100,31616100
31616100,3432147532,1EXQXOAZAKTP,,31616100,31616100
31616130,1282889984,5VGKW9UJDCYV,,31616130,31616130
31616130,1282889984,5VGKW9UJDCYV,,31616130,31616130
31616150,1521714164,6WBJZ3T3Y55T,,31616150,31616150
31616170,2412442207,2GH41U27L6Q8,,,
31616210,2611473042,1BAFGW221RL0,,31616210,31616210
31616300,2464913978,5X2T5HYUJGMB,,31616300,31616300
31616320,2839712720,23SGSOOQ9O9I,,31616320,31616320
31616360,3305244336,2C0KIGE27FM1,,,
31616380,3354794943,4FKZU5EYO20Z,,,
329B3974B,2727741470,6W795ICXFGW4,,,
330B12157,3145218649,5JSGYDIVLBUQ,,12157 330B,12157 330B
330B12160,3408349359,6YVJ36Z4JLTY,,12160 330B,12160 330B
3326410,2645091360,4VONAEG3ET9U,,,
3578648,3082600408,5ZEA3CSJXGV8,,3578648,3578648
364351,3105654571,62TB5F8W1CO4,,364351,364351
364351,3105654571,62TB5F8W1CO4,,364351,364351
37591617,1179104517,0WH8709AZ7NI,,37591617,37591617
403422,1979678645,4ITK6MEQTN1X,,403422,403422
404296,3155107638,2ZJOZMOGISYH,,404296,404296
404298,3460067176,2BS5MVZ3R65K,,404298,404298
404310,3452010227,2INV6O03J9C9,,404310,404310
40806940,2215007521,25PEXVZOAKZ0,,40806940,40806940
40846180,2260654462,5U8M3H719R9C,,40846180,40846180
40846190,3375223089,40VQ4V369HO0,,,
40846830,3585044164,1D3HB76R59SH,,,
40846930B,3444728945,35R5IA97XSVC,,40846930,40846930
40926080,3985709901,6CHDMTHG2E5C,,,
40926150,2833050932,1C44J0FCDRDN,,40926150,40926150
40926220,3087642885,16LPFZ6IND6G,,40926220,40926220
40926220,3087642885,16LPFZ6IND6G,,40926220,40926220
40926240,3900822568,133CVPF6LIZL,,40926240,40926240
40946330,3500519823,3KILN1FFFQUC,,40946330,40946330
411,3872254899,2JAARQMN8HPN,,,
41262330,3421828020,66HCPKP25DQ8,,41262330,41262330
41262330,3421828020,66HCPKP25DQ8,,41262330,41262330
41262410,1827713870,5A5PAYELODD4,,,
41626190,3720385337,5X11FYOGPWSO,,41626190,41626190
41626270,3114179700,5KMLWTQ8RX7L,,41626270,41626270 Des
41626270,3114179700,5KMLWTQ8RX7L,,41626270,41626270 Des
41666040,1997330152,4VJ3HJUZ9LRL,,,
41678110,3758649793,6APN4429U677,,41678110,41678110
41706010,2849309975,3DHC6BCTCK4M,,41706010,41706010
41706010,2849309975,3DHC6BCTCK4M,,41706010,41706010
41706060,2407026271,1O9VQHGP5ZB7,,41706060,41706060
41706190,3617392444,6FMLIQ5QDGND,,41706190,41706190
41706290,2716086676,2WXPVXX3AJ43,,41706290,41706290 Des
41776410,1737020018,5Z4MT3DAJFOM,,41776410,41776410
41776620,3101802426,620ALUIA59US,,41776620,41776620
41776620,3101802426,620ALUIA59US,,41776620,41776620
418KU30010,1314078586,6VAC2X204HAG,,30010 418KU,30010 418KU
48741P,3865308564,20LEZMCTEFCO,,,
49068,2199829224,6TP3PNN7QSZR,,49068,49068
49558,3600362738,207JG93NHCGG,,49558,49558
51306010,3364729096,6FBOZGTJ3LR9,,51306010,51306010
51306040,3453561289,1E7JFRRFL0SI,,51306040,51306040
51306050,3216033291,6OGZE80EIFT2,,51306050,51306050
51492030,2225198720,7LGCLF20LQQ9,,51492030,51492030
528B50138,1577024346,1MQON9IQ76H4,,50138 528B,50138 528B
533309F,1493990520,4FR5WE7DC8YW,,,
533507F,3957245629,497UJW3BQJ6W,,,
537SM_1,5232792017,6FSK2EJUHSG3,,,
537SM_1_VAR,,4X94FMAIEDJ8,,,
537SM_6,5286462803,17JN7APNMGXP,,,
537SM_6_VAR,,4TJCYZ2PYVK7,,,
537SM_S,5234894566,2MU02YGXCNIG,,,
537SM_S_VAR,,7C76EN80AF1C,,,
5501802,1376728935,6UO0UKVR9VGH,,5501802,5501802
5502350,3807446689,33J8F3XL5GX0,,5502350,5502350
5502951,3921076140,57L7B63WHA52,,5502951,5502951
5503175,2788835619,6GT97GVJ6886,,5503175,5503175
5503201,3369340511,185QJXK056RQ,,5503201,5503201
5503233,1092831021,1AYVGKHFZJXQ,,,
5503862,1571694608,41I4T3RXN4JS,,5503862,5503862
5503862,1571694608,41I4T3RXN4JS,,5503862,5503862
5504120,3637264074,6NJCW8ES4QLD,,5504120,5504120
5504120,3637264074,6NJCW8ES4QLD,,5504120,5504120
5504312,3433690385,1Z6KKG93IDD4,,5504312,5504312
5504312,3433690385,1Z6KKG93IDD4,,5504312,5504312
5504392,3943391150,4JRA0B1UMXCL,,5504392,5504392
5504732,1689686990,1WBVS9FZD6C0,,5504732,5504732
5505652,2336178242,37APY5FE6CUO,,5505652,5505652
5505671,3624242790,6HQRAGFTWTWO,,5505671,5505671
5505671,3624242790,6HQRAGFTWTWO,,5505671,5505671
5505681,3697097976,1NES5KOJ01FM,,,
5505713,3193115722,14OZWOBH57E3,,,
5506052,1204356644,6N8HAV4XI281,,5506052,5506052
5506101,3128366028,1K5BC4L5ANS0,,5506101,5506101
5506320,2611208796,7G6D61ZU8754,,,
5506652,2191368978,56XCHUTWJ26W,,,
5506811,3199035686,69H3UL9H1L4Y,,5506811,5506811
5506860,3167934792,0XJGLM9JXAGJ,,,
5506871,1401192748,3LB3IME6LX3S,,5506871,5506871
5506871,1401192748,3LB3IME6LX3S,,5506871,5506871
5507150,3330729479,2MG3RJ1HYU2Z,,5507150,5507150
5507230,3221527588,65UUMWDU8UO5,,5507230,5507230
5508332,1351736381,4UVLZTOB0POK,,5508332,5508332
5508410,3376315753,1GQLGF03Q4KX,,5508410,5508410
5508560,3342367849,6JSZKR7ILI7C,,5508560,5508560
5508630,3374420484,6H2MUDM3T129,,5508630,5508630
5508680,3535483665,2GF3O1N3A5UC,,5508680,5508680
5508680,3535483665,2GF3O1N3A5UC,,5508680,5508680
5510611,2975939776,76LN327MW9J6,,5510611,5510611
5510611,2975939776,76LN327MW9J6,,5510611,5510611
5510641,2353986196,157XDS2JKG8E,,5510641,5510641
5510641,2353986196,157XDS2JKG8E,,5510641,5510641
5510642,2765171473,69951NBGYUKN,,,
5510842,3485171347,2B1D5E3IQUSX,,5510842,5510842
5512071B,1595809990,3P3I663PAX88,,5512071,5512071 B
562WG,,632WIQ66CMHS,,,
562WG_1,5286412768,75ZE5NJ8GFH5,,,
562WG_10,5242081917,42V8EDTQZPNM,,,
562WG_10_VAR,,47AQL6B2YWL2,,,
562WG_1_VAR,,6B3LLBXVOJ6X,,,
562WG_6,5286561457,32CSYXJZ6WMX,,,
562WG_6_VAR,,562886BLQZRM,,,
562WG_8,5292350954,2NMIDWRL1MO7,,,
562WG_8_VAR,,3NPGP4QHYV51,,,
562WG_S,5233826863,372BOFK01V4X,,,
562WG_S_VAR,,3AVCK5ECRDWJ,,,
563BC_1,5286462801,5EJ32M9T8TOI,,,
563BC_10,5231782004,2WB4YFLIYWTT,,,
563BC_6,5234894564,3IZIG4B9C5AR,,,
