seller_sku,status,BS_SKU,B_SKU,B_NZ_SKU
EHD_WP_DEKORA_NATUR_6_9593_21_SAMPLE,Active,9593-21S,,
EHD_WP_DEKORA_NATUR_6_9593_22,Active,9593-22,,
EHD_WP_DEKORA_NATUR_6_9593_22_SAMPLE,Active,9593-22S,,
EHD_WP_DEKORA_NATUR_6_9593_61,Active,9593-61,,
EHD_WP_DEKORA_NATUR_6_9593_61_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_9804_34,Active,,,
EHD_WP_DEKORA_NATUR_6_9804_34_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_6651_26_SAMPLE,Active,6651-26S,,
EHD_WP_DEKORA_NATUR_6_6651_26,Active,6651-26,,
EHD_WP_DEKORA_NATUR_6_6651_33_SAMPLE,Active,6651-33S,,
EHD_WP_DEKORA_NATUR_6_6651_33,Active,6651-33,,
EHD_WP_DEKORA_NATUR_6_6651_40,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_6651_40_SAMPLE,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9117_35,Active,,,
EHD_WP_DEKORA_NATUR_6_6077_44,Active,6077-44,,
EHD_WP_DEKORA_NATUR_6_6077_44_SAMPLE,Active,6077-44S,,
EHD_WP_DEKORA_NATUR_6_6630_23,Active,,,
EHD_WP_DEKORA_NATUR_6_6630_23_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_6632_21,Active,6632-21,,
EHD_WP_DEKORA_NATUR_6_6632_21_SAMPLE,Active,6632-21S,,
EHD_WP_DEKORA_NATUR_6_6643_27,Active,,,
EHD_WP_DEKORA_NATUR_6_6643_27_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_6840_11,Active,6840-11,,
EHD_WP_DEKORA_NATUR_6_6924_12,Active,,,
EHD_WP_DEKORA_NATUR_6_6924_12_SAMPLE,Active,6924-12S,,
EHD_WP_DEKORA_NATUR_6_6924_29,Active,6924-29,,
EHD_WP_DEKORA_NATUR_6_6924_29_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_8771_16_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_8771_16,Active,,,
EHD_WP_DEKORA_NATUR_6_8817_17,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9113_15,Active,9113-15,,
EHD_WP_DEKORA_NATUR_6_9113_15_SAMPLE,Active,9113-15S,,
EHD_WP_DEKORA_NATUR_6_8817_17_SAMPLE,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9113_22,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9113_22_SAMPLE,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9537_01,Active,,,
EHD_WP_DEKORA_NATUR_6_9537_01_SAMPLE,Active,9537-01S,,
EHD_WP_DEKORA_NATUR_6_9537_02,Discontinued,9537-02,,
EHD_WP_DEKORA_NATUR_6_9537_02_SAMPLE,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9581_51_SAMPLE,Active,9581-51S,,
EHD_WP_DEKORA_NATUR_6_9581_51,Active,9581-51,,
EHD_WP_DEKORA_NATUR_6_9581_52_SAMPLE,Active,9581-52S,,
EHD_WP_DEKORA_NATUR_6_9581_52,Active,9581-52,,
EHD_WP_DEKORA_NATUR_6_9581_61_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_9581_61,Active,,,
EHD_WP_DEKORA_NATUR_6_9581_62,Active,,,
EHD_WP_DEKORA_NATUR_6_9581_62_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_9582_01,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9582_01_SAMPLE,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9582_02_SAMPLE,Active,9582-02S,,
EHD_WP_DEKORA_NATUR_6_9583_31,Active,9583-31,,
EHD_WP_DEKORA_NATUR_6_9583_31_SAMPLE,Active,9583-31S,,
EHD_WP_DEKORA_NATUR_6_9583_41,Active,9583-41,,
EHD_WP_DEKORA_NATUR_6_9583_41_SAMPLE,Active,9583-41S,,
EHD_WP_DEKORA_NATUR_6_9583_61_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_9583_61,Active,9583-61,,
EHD_WP_DEKORA_NATUR_6_9583_72_SAMPLE,Active,9583-72S,,
EHD_WP_DEKORA_NATUR_6_9583_72,Active,9583-72,,
EHD_WP_DEKORA_NATUR_6_9584_01,Active,,,
EHD_WP_DEKORA_NATUR_6_9584_02,Active,,,
EHD_WP_DEKORA_NATUR_6_9584_01_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_9584_02_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_9586_31,Active,9586-31,,
EHD_WP_DEKORA_NATUR_6_9586_31_SAMPLE,Active,9586-31S,,
EHD_WP_DEKORA_NATUR_6_9586_32,Discontinued,9586-32,,
EHD_WP_DEKORA_NATUR_6_9586_32_SAMPLE,Discontinued,9586-32S,,
EHD_WP_DEKORA_NATUR_6_9587_11,Active,9587-11,,
EHD_WP_DEKORA_NATUR_6_9587_11_SAMPLE,Active,9587-11S,,
EHD_WP_DEKORA_NATUR_6_9587_12,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9587_12_SAMPLE,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9588_31_SAMPLE,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9588_31,Discontinued,9588-31,,
EHD_WP_DEKORA_NATUR_6_9588_32,Discontinued,9588-32,,
EHD_WP_DEKORA_NATUR_6_9588_32_SAMPLE,Discontinued,9588-32S,,
EHD_WP_DEKORA_NATUR_6_9589_01_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_9589_02,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9589_01,Active,9589-01,,
EHD_WP_DEKORA_NATUR_6_9589_02_SAMPLE,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9589_61,Active,9589-61,,
EHD_WP_DEKORA_NATUR_6_9589_61_SAMPLE,Active,9589-61S,,
EHD_WP_DEKORA_NATUR_6_9589_71_SAMPLE,Active,9589-71S,,
EHD_WP_DEKORA_NATUR_6_9589_72,Active,9589-72,,
EHD_WP_DEKORA_NATUR_6_9589_72_SAMPLE,Active,9589-72S,,
EHD_WP_DEKORA_NATUR_6_9589_91,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9589_81,Active,,,
EHD_WP_DEKORA_NATUR_6_9589_91_SAMPLE,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_9589_92,Active,9589-92,,
EHD_WP_DEKORA_NATUR_6_9589_92_SAMPLE,Active,9589-92S,,
EHD_WP_DEKORA_NATUR_6_9589_81_SAMPLE,Active,9589-81S,,
EHD_WP_DEKORA_NATUR_6_9591_41,Active,9591-41,,
EHD_WP_DEKORA_NATUR_6_9591_41_SAMPLE,Active,9591-41S,,
EHD_WP_DEKORA_NATUR_6_9591_42_SAMPLE,Active,9591-42S,,
EHD_WP_DEKORA_NATUR_6_9592_02_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_9593_11_SAMPLE,Active,9593-11S,,
EHD_WP_DEKORA_NATUR_6_9593_11,Active,9593-11,,
EHD_WP_DEKORA_NATUR_6_9593_12,Active,9593-12,,
EHD_WP_DEKORA_NATUR_6_9593_12_SAMPLE,Active,9593-12S,,
EHD_WP_DEKORA_NATUR_6_9593_13,Active,,,
EHD_WP_DEKORA_NATUR_6_9593_13_SAMPLE,Active,9593-13S,,
EHD_WP_DEKORA_NATUR_6_9594_81,Active,9594-81,,
EHD_WP_DEKORA_NATUR_6_9594_81_SAMPLE,Active,9594-81S,,
EHD_WP_DEKORA_NATUR_6_9594_82,Active,9594-82,,
EHD_WP_DEKORA_NATUR_6_9594_82_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_9594_91,Active,9594-91,,
EHD_WP_DEKORA_NATUR_6_9594_91_SAMPLE,Active,9594-91S,,
EHD_WP_DEKORA_NATUR_6_9594_92,Active,9594-92,,
EHD_WP_DEKORA_NATUR_6_9594_92_SAMPLE,Active,9594-92S,,
EHD_WP_DEKORA_NATUR_6_6840_11_SAMPLE,Active,6840-11S,,
EHD_WP_DEKORA_NATUR_6_9582_02,Active,9582-02,,
EHD_WP_DEKORA_NATUR_6_9583_71,Active,9583-71,,
EHD_WP_DEKORA_NATUR_6_9583_71_SAMPLE,Active,9583-71S,,
EHD_WP_DEKORA_NATUR_6_9591_42,Active,9591-42,,
EHD_WP_BW_3_1160_55,Active,1160-55,,
EHD_WP_BW_3_1160_55_SAMPLE,Active,1160-55S,,
EHD_WP_BW_3_1320_55_SAMPLE,Active,1320-55S,,
EHD_WP_BW_3_1320_55,Active,1320-55,,
EHD_WP_BW_3_1320_62,Active,1320-62,,
EHD_WP_BW_3_1320_62_SAMPLE,Active,1320-62S,,
EHD_WP_BW_3_1395_11,Active,1395-11,,
EHD_WP_BW_3_1395_11_SAMPLE,Active,1395-11S,,
EHD_WP_BW_3_1790_50,Active,1790-50,,
EHD_WP_BW_3_1790_50_SAMPLE,Active,1790-50S,,
EHD_WP_BW_3_2063_67_SAMPLE,Active,2063-67S,,
EHD_WP_BW_3_2063_67,Active,2063-67,,
EHD_WP_BW_3_2117_74,Active,2117-74,,
EHD_WP_BW_3_2117_74_SAMPLE,Active,2117-74S,,
EHD_WP_BW_3_2117_98,Active,2117-98,,
